identifier,place_id,url,title
Eiffel Tower,ChIJLU7jZClu5kcR4PcOOO6p3I0,https://www.britannica.com/topic/Eiffel-Tower-Paris-France,Eiffel Tower
Nile River,ChIJrUWsRqizWhQRIqs0_CQzO2I,https://www.britannica.com/place/Nile-River,Nile River
Loch Ness,ChIJKTeiTcMWj0gRL5H-9MtJ19Q,https://www.britannica.com/place/Loch-Ness-lake-Scotland-United-Kingdom,Loch Ness
New Delhi,ChIJLbZ-NFv9DDkRzk0gTkm3wlI,https://www.britannica.com/place/Delhi,Delhi
Chicago,ChIJ7cv00DwsDogRAMDACa2m4K8,https://www.britannica.com/place/Chicago,Chicago
Tierra del Fuego,ChIJfUmnsdW-5ZURPAib3OPTgwg,https://www.britannica.com/place/Tierra-del-Fuego-archipelago-South-America,Tierra del Fuego
Washington D.C.,ChIJJyztKd-2t4kRL1MTwPjQg68,https://www.britannica.com/place/Washington-DC,"Washington, D.C."
Panama Canal,ChIJLUnNMUtfq48RYAlKoecR3dk,https://www.britannica.com/topic/Panama-Canal,Panama Canal
Moscow,ChIJAcyCZFdKtUYRv6AmH5Tglts,https://www.britannica.com/place/Moscow,Moscow
Bosporus,ChIJn5k8FGjKyhQRtd_p_WFbAGM,https://www.britannica.com/place/Bosporus,Bosporus
Grand Canyon,ChIJFU2bda4SM4cRKSCRyb6pOB8,https://www.britannica.com/place/Grand-Canyon,Grand Canyon
Mount Kilimanjaro,ChIJBahuOVr8ORgRAWzqjkccdI4,https://www.britannica.com/place/Kilimanjaro,Kilimanjaro
Andes,ChIJL51OWvySh5YRVHkUAg1TFos,https://www.britannica.com/place/Andes-Mountains,Andes Mountains
Sydney Harbor Bridge,ChIJBa7IFYuuEmsRn7XUnfYcDC8,https://www.britannica.com/topic/Sydney-Harbour-Bridge,Sydney Harbour Bridge
Ginza,ChIJu2-DAeeLGGARUZipC7OFRmA,https://www.britannica.com/place/Ginza-Japan,Ginza
Carthage Archeological Site,ChIJv-zubbq14hIR_irCo8ZhXZo,https://www.britannica.com/place/Carthage-ancient-city-Tunisia,Carthage
Amazon Rainforest,ChIJhUN0QlNg6JERx39KOcFtPD0,https://www.britannica.com/place/Amazon-Rainforest,Amazon Rainforest
Iceland,ChIJhdLb3DQP1EgRuhL3PgFfQBA,https://www.britannica.com/place/Iceland,Iceland
Colorado,ChIJt1YYm3QUQIcR_6eQSTGDVMc,https://www.britannica.com/place/Colorado-state,Colorado
Woodstock Festival,ChIJK0zPwDMH3YkR_HEHiO--XLg,https://www.britannica.com/event/Woodstock,Woodstock
Field Museum,ChIJV0AwM30rDogR2sd-X0cgErU,https://www.britannica.com/topic/Field-Museum,Field Museum
Shedd Aquarium,ChIJ-XW3X2MrDogR3_tQ3-OdBTI,https://www.britannica.com/topic/Shedd-Aquarium,Shedd Aquarium
Wrigley Field,ChIJId-a5bLTD4gRRtbdduE-6hw,https://www.britannica.com/place/Wrigley-Field,Wrigley Field
Illinois River,ChIJG6UQ727UC4gRZ1CX6cyLegM,https://www.britannica.com/place/Illinois-River,Illinois River
Illinois,ChIJGSZubzgtC4gRVlkRZFCCFX8,https://www.britannica.com/place/Illinois-state,Illinois
Quad Cities Intl Airport,ChIJQ740FcIx4ocRdXbu7OGdCdY,https://www.britannica.com/place/Quad-Cities,Quad Cities
Iowa (partial location?),ChIJGWD48W9e7ocR2VnHV0pj78Y,https://www.britannica.com/place/Iowa-state,Iowa
Wisconsin Dells,ChIJnXbLBz5JB4gReDMLKM0mzUo,https://www.britannica.com/place/Wisconsin-Dells-resort-area-Wisconsin,Wisconsin Dells
"Aurora, IL",ChIJGxHVTk3lDogRXehQw0j40X8,https://www.britannica.com/place/Aurora-Illinois,Aurora
Griffin Museum of Science and Industry (MSI).,ChIJHd8BYAopDogRBuMXc6oszA8,https://www.britannica.com/topic/Museum-of-Science-and-Industry,Museum of Science and Industry
Rockford,ChIJ2wAD_c25CIgRgGePgpfYygo,https://www.britannica.com/place/Rockford,Rockford
Notre Dame Univ,ChIJE_w1tKHSFogRNqFbi5bMiQs,https://www.britannica.com/topic/University-of-Notre-Dame,University of Notre Dame
American Airlines Flight 191 Memorial,ChIJZfMGA_i2D4gRxCqCv13KuZ0,https://www.britannica.com/event/American-Airlines-Flight-191,American Airlines flight 191
