title,name,geom,bbox,formatted_address,place_id,url,point_geom,bbox_geom
Eiffel Tower,Avenue Gustave Eiffel,"{'lat': 48.85837009999999, 'lng': 2.2944813}","{'northeast': {'lat': 48.8593817802915, 'lng': 2.296314600000001}, 'southwest': {'lat': 48.8566838197085, 'lng': 2.2934008}}","Av. Gustave Eiffel, 75007 Paris, France",ChIJLU7jZClu5kcR4PcOOO6p3I0,https://www.britannica.com/topic/Eiffel-Tower-Paris-France,POINT (2.2944813 48.85837009999999),"POLYGON ((2.296314600000001 48.8566838197085, 2.296314600000001 48.8593817802915, 2.2934008 48.8593817802915, 2.2934008 48.8566838197085, 2.296314600000001 48.8566838197085))"
Nile River,Nile,"{'lat': 23.55979236573434, 'lng': 32.15770737905076}","{'northeast': {'lat': 31.5122675, 'lng': 34.0641419}, 'southwest': {'lat': 15.6073172, 'lng': 30.2512728}}",Nile,ChIJrUWsRqizWhQRIqs0_CQzO2I,https://www.britannica.com/place/Nile-River,POINT (32.15770737905076 23.55979236573434),"POLYGON ((34.0641419 15.6073172, 34.0641419 31.5122675, 30.2512728 31.5122675, 30.2512728 15.6073172, 34.0641419 15.6073172))"
Loch Ness,Loch Ness,"{'lat': 57.3228575, 'lng': -4.4243817}","{'northeast': {'lat': 57.4097118, 'lng': -4.3276873}, 'southwest': {'lat': 57.1383591, 'lng': -4.6756821}}","Loch Ness, United Kingdom",ChIJKTeiTcMWj0gRL5H-9MtJ19Q,https://www.britannica.com/place/Loch-Ness-lake-Scotland-United-Kingdom,POINT (-4.4243817 57.3228575),"POLYGON ((-4.3276873 57.1383591, -4.3276873 57.4097118, -4.6756821 57.4097118, -4.6756821 57.1383591, -4.3276873 57.1383591))"
New Delhi,New Delhi,"{'lat': 28.6139298, 'lng': 77.2088282}","{'northeast': {'lat': 28.7053937, 'lng': 77.3449601}, 'southwest': {'lat': 28.4041, 'lng': 77.07301009999999}}","New Delhi, Delhi, India",ChIJLbZ-NFv9DDkRzk0gTkm3wlI,https://www.britannica.com/place/Delhi,POINT (77.2088282 28.6139298),"POLYGON ((77.3449601 28.4041, 77.3449601 28.7053937, 77.07301009999999 28.7053937, 77.07301009999999 28.4041, 77.3449601 28.4041))"
Chicago,Chicago,"{'lat': 41.88325, 'lng': -87.6323879}","{'northeast': {'lat': 42.0231351, 'lng': -87.52366099999999}, 'southwest': {'lat': 41.644286, 'lng': -87.940097}}","Chicago, IL, USA",ChIJ7cv00DwsDogRAMDACa2m4K8,https://www.britannica.com/place/Illinois-state,POINT (-87.6323879 41.88325),"POLYGON ((-87.52366099999999 41.644286, -87.52366099999999 42.0231351, -87.940097 42.0231351, -87.940097 41.644286, -87.52366099999999 41.644286))"
Tierra del Fuego,Tierra del Fuego,"{'lat': -54.21161194647284, 'lng': -69.32367235500021}","{'northeast': {'lat': -52.4268064, 'lng': -63.7018989}, 'southwest': {'lat': -55.99641750000001, 'lng': -74.9454458}}",Tierra del Fuego,ChIJfUmnsdW-5ZURPAib3OPTgwg,https://www.britannica.com/place/Tierra-del-Fuego-archipelago-South-America,POINT (-69.32367235500021 -54.21161194647284),"POLYGON ((-63.7018989 -55.99641750000001, -63.7018989 -52.4268064, -74.9454458 -52.4268064, -74.9454458 -55.99641750000001, -63.7018989 -55.99641750000001))"
Pentagon,Washington,"{'lat': 38.8718568, 'lng': -77.0562669}","{'northeast': {'lat': 38.8756014, 'lng': -77.0529616}, 'southwest': {'lat': 38.86673760000001, 'lng': -77.060921}}","Washington, VA, USA",ChIJJyztKd-2t4kRL1MTwPjQg68,https://www.britannica.com/topic/Pentagon,POINT (-77.0562669 38.8718568),"POLYGON ((-77.0529616 38.86673760000001, -77.0529616 38.8756014, -77.060921 38.8756014, -77.060921 38.86673760000001, -77.0529616 38.86673760000001))"
Panama Canal,Panama Canal,"{'lat': 9.14380343698933, 'lng': -79.72851610370265}","{'northeast': {'lat': 9.401031999999999, 'lng': -79.5153773}, 'southwest': {'lat': 8.8865749, 'lng': -79.9416549}}","Panama Canal, Panama",ChIJLUnNMUtfq48RYAlKoecR3dk,https://www.britannica.com/topic/Panama-Canal,POINT (-79.72851610370265 9.14380343698933),"POLYGON ((-79.5153773 8.8865749, -79.5153773 9.401031999999999, -79.9416549 9.401031999999999, -79.9416549 8.8865749, -79.5153773 8.8865749))"
Red Square,Krasnaya ploshad,"{'lat': 55.75393030000001, 'lng': 37.620795}","{'northeast': {'lat': 55.7549027, 'lng': 37.6228811}, 'southwest': {'lat': 55.7520405, 'lng': 37.6186812}}","Krasnaya ploshad, Moskva, Russia, 109012",ChIJGaSPc1pKtUYRHzFSa1B9NHw,https://www.britannica.com/topic/Red-Square,POINT (37.620795 55.75393030000001),"POLYGON ((37.6228811 55.7520405, 37.6228811 55.7549027, 37.6186812 55.7549027, 37.6186812 55.7520405, 37.6228811 55.7520405))"
Bosporus,Bosphorus,"{'lat': 41.2213125, 'lng': 29.1290157}","{'northeast': {'lat': 41.2340735, 'lng': 29.1647778}, 'southwest': {'lat': 40.9910628, 'lng': 28.9776197}}","Bosphorus, Türkiye",ChIJn5k8FGjKyhQRtd_p_WFbAGM,https://www.britannica.com/place/Bosporus,POINT (29.1290157 41.2213125),"POLYGON ((29.1647778 40.9910628, 29.1647778 41.2340735, 28.9776197 41.2340735, 28.9776197 40.9910628, 29.1647778 40.9910628))"
Grand Canyon National Park,Grand Canyon National Park,"{'lat': 36.2678855, 'lng': -112.3535253}","{'northeast': {'lat': 36.51027029999999, 'lng': -111.8002234}, 'southwest': {'lat': 35.6745486, 'lng': -113.8860446}}","Grand Canyon National Park, Arizona, USA",ChIJFU2bda4SM4cRKSCRyb6pOB8,https://www.britannica.com/place/Grand-Canyon-National-Park,POINT (-112.3535253 36.2678855),"POLYGON ((-111.8002234 35.6745486, -111.8002234 36.51027029999999, -113.8860446 36.51027029999999, -113.8860446 35.6745486, -111.8002234 35.6745486))"
Kilimanjaro,Kilimanjaro Region,"{'lat': -4.1336927, 'lng': 37.8087693}","{'northeast': {'lat': -2.8519963, 'lng': 38.4052708}, 'southwest': {'lat': -4.6160216, 'lng': 36.8904074}}","Kilimanjaro Region, Tanzania",ChIJTwPS81dqOBgRjZfI59mwNnA,https://www.britannica.com/place/Kilimanjaro,POINT (37.8087693 -4.1336927),"POLYGON ((38.4052708 -4.6160216, 38.4052708 -2.8519963, 36.8904074 -2.8519963, 36.8904074 -4.6160216, 38.4052708 -4.6160216))"
Andes Mountains,Andes,"{'lat': -21.1607667, 'lng': -66.7752471}","{'northeast': {'lat': 12.4558421, 'lng': -22.8513537}, 'southwest': {'lat': -56.1608728, 'lng': -113.9929303}}",Andes,ChIJL51OWvySh5YRVHkUAg1TFos,https://www.britannica.com/place/Andes-Mountains,POINT (-66.7752471 -21.1607667),"POLYGON ((-22.8513537 -56.1608728, -22.8513537 12.4558421, -113.9929303 12.4558421, -113.9929303 -56.1608728, -22.8513537 -56.1608728))"
Sydney Harbour Bridge,Sydney Harbour Bridge,"{'lat': -33.8523063, 'lng': 151.2107871}","{'northeast': {'lat': -33.8451843, 'lng': 151.2126123}, 'southwest': {'lat': -33.8606917, 'lng': 151.2055966}}","Sydney Harbour Bridge, Sydney Hbr Brg, Sydney NSW, Australia",ChIJ49XqJV2uEmsRPsTAF7eOlGg,https://www.britannica.com/topic/Sydney-Harbour-Bridge,POINT (151.2107871 -33.8523063),"POLYGON ((151.2126123 -33.8606917, 151.2126123 -33.8451843, 151.2055966 -33.8451843, 151.2055966 -33.8606917, 151.2126123 -33.8606917))"
Ginza,Ginza,"{'lat': 35.6712228, 'lng': 139.7664859}","{'northeast': {'lat': 35.6759902, 'lng': 139.7725008}, 'southwest': {'lat': 35.6632621, 'lng': 139.7585774}}","Ginza, Chuo City, Tokyo 104-0061, Japan",ChIJu2-DAeeLGGARUZipC7OFRmA,https://www.britannica.com/place/Ginza-Japan,POINT (139.7664859 35.6712228),"POLYGON ((139.7725008 35.6632621, 139.7725008 35.6759902, 139.7585774 35.6759902, 139.7585774 35.6632621, 139.7725008 35.6632621))"
Carthage,Carthage,"{'lat': 32.1573841, 'lng': -94.3374199}","{'northeast': {'lat': 32.1781009, 'lng': -94.300849}, 'southwest': {'lat': 32.1275671, 'lng': -94.3720409}}","Carthage, TX 75633, USA",ChIJHbORyowGN4YRsn2Pfk0unwg,https://www.britannica.com/place/Carthage-ancient-city-Tunisia,POINT (-94.3374199 32.1573841),"POLYGON ((-94.300849 32.1275671, -94.300849 32.1781009, -94.3720409 32.1781009, -94.3720409 32.1275671, -94.300849 32.1275671))"
Amazon Rainforest,Amazon Rainforest,"{'lat': -3.4653053, 'lng': -62.21588049999999}","{'northeast': {'lat': -3.463956319708498, 'lng': -62.21453151970849}, 'southwest': {'lat': -3.466654280291502, 'lng': -62.2172294802915}}","Amazon Rainforest - Codajás, State of Amazonas, 69450-000, Brazil",ChIJhUN0QlNg6JERx39KOcFtPD0,https://www.britannica.com/place/Amazon-Rainforest,POINT (-62.21588049999999 -3.4653053),"POLYGON ((-62.21453151970849 -3.466654280291502, -62.21453151970849 -3.463956319708498, -62.2172294802915 -3.463956319708498, -62.2172294802915 -3.466654280291502, -62.21453151970849 -3.466654280291502))"
Langjökull,Langjökull,"{'lat': 64.6561868, 'lng': -20.1531477}","{'northeast': {'lat': 64.9051518, 'lng': -19.7644412}, 'southwest': {'lat': 64.49318010000002, 'lng': -20.6708579}}","Langjökull, Iceland",ChIJhdLb3DQP1EgRuhL3PgFfQBA,https://www.britannica.com/place/Langjokull,POINT (-20.1531477 64.6561868),"POLYGON ((-19.7644412 64.49318010000002, -19.7644412 64.9051518, -20.6708579 64.9051518, -20.6708579 64.49318010000002, -19.7644412 64.49318010000002))"
South Pole,South Pole,"{'lat': 41.6839239, 'lng': -87.5594895}","{'northeast': {'lat': 41.6852728802915, 'lng': -87.5581405197085}, 'southwest': {'lat': 41.6825749197085, 'lng': -87.56083848029151}}","South Pole, Chicago, IL 60617, USA",ChIJwU8EtRInDogRzNryEssL61k,https://www.britannica.com/place/South-Pole,POINT (-87.5594895 41.6839239),"POLYGON ((-87.5581405197085 41.6825749197085, -87.5581405197085 41.6852728802915, -87.56083848029151 41.6852728802915, -87.56083848029151 41.6825749197085, -87.5581405197085 41.6825749197085))"
